Pair: BUSE and SFNC, Profit: 1076.027026983568
Pair: FBMS and VBTX, Profit: 1074.1296435408274
Pair: BPOP and CATY, Profit: 1073.6982608590085
Pair: PFS and UCB, Profit: 1070.9093894490277
Pair: ONB and VBTX, Profit: 1068.3730591623823
Pair: NTB and NWBI, Profit: 1061.2505442193958
Pair: PB and WSBC, Profit: 1060.5237578396548
Pair: FIBK and UMBF, Profit: 1059.1821536755208
Pair: BRKL and OCFC, Profit: 1058.4851104715176
Pair: CVBF and UBSI, Profit: 1056.6765222990223
Pair: SNV and UCB, Profit: 1054.4073569209493
Pair: OCFC and UBSI, Profit: 1044.280194789288
Pair: BUSE and UCB, Profit: 1043.9332180928118
Pair: EBC and FULT, Profit: 1042.1097453771104
Pair: FNB and WSBC, Profit: 1040.4966394616645
Pair: ABCB and AUB, Profit: 1034.4917302306085
Pair: FNB and UBSI, Profit: 1027.8261963962664
Pair: SFNC and WSBC, Profit: 1027.1659621790836
Pair: OZK and ZION, Profit: 1026.0692942303651
Pair: CBSH and FIBK, Profit: 1024.5233140969133
Pair: BUSE and FCF, Profit: 1024.0947134401547
Pair: CATY and OCFC, Profit: 1022.8277402068034
Pair: SFNC and WSFS, Profit: 1022.0251274971118
Pair: UCB and WAFD, Profit: 1021.797031925276
Pair: AUB and PFS, Profit: 1021.1821064547385
Pair: AUB and AX, Profit: 1019.3007754746642
Pair: ABCB and FIBK, Profit: 1019.0907898953602
Pair: KRNY and SFNC, Profit: 1012.9421281627913
Pair: BANR and FIBK, Profit: 1012.3475066407896
Pair: ONB and PB, Profit: 1010.9908447025383
Pair: ASB and BKU, Profit: 1010.7589032973524
Pair: EBC and FNB, Profit: 1010.3409159286662
Pair: ASB and WSBC, Profit: 1009.7557309532622
Pair: BUSE and HOPE, Profit: 1008.2018199400925
Pair: HOPE and SFNC, Profit: 1007.523891279241
Pair: HTLF and SSB, Profit: 1006.3334939580092
Pair: FBIN and UFPI, Profit: 1006.241832771221
Pair: BKU and FNB, Profit: 1005.3232525947853
Pair: AZEK and FBIN, Profit: 1005.0788644484771
Pair: FCF and WSBC, Profit: 1004.7781648695075
Pair: ASB and OCFC, Profit: 1004.3709143636964
Pair: CBSH and FNB, Profit: 1003.0562445653286
Pair: FNB and UMBF, Profit: 1000.733591939212
Pair: ONB and PFS, Profit: 1000.488307971718
Pair: CATY and PFS, Profit: 1000.2974769027331
Pair: BCC and GMS, Profit: 998.8922835055986
Pair: PFS and VBTX, Profit: 998.3291975206572
Pair: PB and WBS, Profit: 993.7243946764976
Pair: HOPE and SBCF, Profit: 993.6840315890014
Pair: EBC and WSBC, Profit: 992.7358142153549
Pair: FNB and PFS, Profit: 992.3893169934778
Pair: NWBI and VBTX, Profit: 989.5621121530077
Pair: AUB and WSBC, Profit: 988.112341743186
Pair: BECN and GMS, Profit: 987.9809397046802
Pair: CBSH and FBMS, Profit: 987.2241504924715
Pair: HTLF and SBCF, Profit: 986.3510264186243
Pair: LBTYA and LBTYK, Profit: 984.8864127531326
Pair: CATY and SFNC, Profit: 983.8058154057633
Pair: HOMB and WSBC, Profit: 982.6419104245684
Pair: EWBC and SSB, Profit: 982.2566096711198
Pair: ASB and VBTX, Profit: 981.9996100851083
Pair: FULT and KRNY, Profit: 978.8603417975426
Pair: BPOP and FBMS, Profit: 974.7885818626877
Pair: HOPE and UCB, Profit: 973.4283435430577
Pair: AUB and CBSH, Profit: 972.887575519473
Pair: FBIN and WMS, Profit: 971.7105321998293
Pair: SNDR and WERN, Profit: 970.7454935056012
Pair: FIBK and STEL, Profit: 968.9118352455207
Pair: GMS and WMS, Profit: 966.883082256334
Pair: HOPE and NWBI, Profit: 966.4727081067047
Pair: FFIN and FTDR, Profit: 966.3098334526384
Pair: ASB and CATY, Profit: 964.9943132856777
Pair: CATY and HOMB, Profit: 964.5406149385756
Pair: FBMS and HOMB, Profit: 963.6904498664876
Pair: ABCB and NWBI, Profit: 963.3866268777197
Pair: FIBK and WTFC, Profit: 962.8071381479085
Pair: CATY and HOPE, Profit: 959.9409672398368
Pair: FHB and HOPE, Profit: 959.1583829776605
