('EBC','PFS',1)
('ASB','HTLF',1)
('FFBC','SNV',1)
('FIBK','SSB',1)
('FFBC','SFNC',1)
('EBC','PPBI',1)
('SLM','UBSI',1)
('CADE','SFNC',1)
('FBMS','WSBC',1)
('CADE','FFBC',1)
('WAFD','WSBC',1)
('CSL','URI',1)
('FIBK','PNFP',1)
('PFS','PPBI',1)
('BRKL','NWBI',1)
('FBMS','HOPE',1)
('CVBF','SLM',1)
('CBSH','WAFD',1)
('EME','IR',1)
('FCF','IBOC',1)
('HOPE','PB',1)
('BHLB','GBCI',1)
('ABCB','PFS',1)
('CADE','FBMS',1)
('FFBC','FIBK',1)
('BRKL','SFNC',1)
('HIG','ORI',1)
('SLM','ZWS',1)
('AON','ORI',1)
('URI','WCC',1)
('PNFP','WAFD',1)
('LOB','UCB',1)
('FFBC','HOPE',1)
('ASB','CFR',1)
('RNST','SNV',1)
('BHLB','PNFP',1)
('BRKL','CVBF',1)
('BANR','CVBF',1)
('ASB','AUB',1)
('CADE','FIBK',1)
('EWBC','FIBK',1)
('AUB','OCFC',1)
('ASB','SNV',1)
('FIBK','PFC',1)
('FCF','LOB',1)
('CBSH','FFBC',1)
('CATY','WSBC',1)
('ABCB','FFBC',1)
('NWBI','PB',1)
('FIBK','OCFC',1)
('FBMS','SNV',1)
('RNST','WSBC',1)
('SFNC','WTFC',1)
('ASB','PB',1)
('OCFC','WAFD',1)
('GBCI','TRMK',1)
('HOPE','VBTX',1)
('PNFP','TOWN',1)
('OZK','UBSI',1)
('CVBF','FFBC',1)
('CATY','PNFP',1)
('IR','PNR',1)
('AOS','GGG',1)
('HWC','TRMK',1)
('CBSH','UBSI',1)
('COLB','HOMB',1)
('AX','HOMB',1)
('OSBC','TRMK',1)
('AUB','SNV',1)
('NWBI','WSBC',1)
('CVBF','EBC',1)
('BR','JLL',1)
('FCF','TOWN',1)
('ABCB','SFNC',1)
('FCF','VBTX',1)
('NWBI','TRMK',1)
('EBC','VBTX',1)
('CBSH','UCB',1)
('HTBK','NWBI',1)
('OCFC','SNV',1)
('AX','UBSI',1)
('ASB','UBSI',1)
('AUB','PNFP',1)
('NWBI','PFS',1)
('ASB','SFNC',1)
('BPOP','CVBF',1)
('COLB','CVBF',1)
('HWC','VBTX',1)
('EBC','OCFC',1)
('HOMB','UCB',1)
('BKU','PFS',1)
('AORT','DMO',1)
('NBHC','NWBI',1)
('AUB','CVBF',1)
('RNST','SFNC',1)
('FFBC','HWC',1)
('NWBI','UBSI',1)
('CBSH','SNV',1)
('CVBF','RNST',1)
('FCF','NBHC',1)
('PNFP','TRMK',1)
('CVBF','SFNC',1)
('HOPE','PPBI',1)
('HOPE','PNFP',1)
('BANR','HOPE',1)
('SLM','SNV',1)
('GBCI','WAFD',1)
('SNV','UBSI',1)
('EBC','SBCF',1)
('EBC','UCB',1)
('PB','PNFP',1)
('ASB','FIBK',1)
('GBCI','WBS',1)
('FBMS','PNFP',1)
('FCF','TRMK',1)
('FCF','UCB',1)
('CBSH','SFNC',1)
('BRKL','TRMK',1)
('FCF','WSFS',1)
('NWBI','SNV',1)
('HOPE','WTFC',1)
('COLB','NWBI',1)
('AX','HOPE',1)
('AOS','FBIN',1)
('CSL','GGG',1)
('BRKL','PB',1)
('BPOP','HOMB',1)
('CADE','GBCI',1)
('HWC','UCB',1)
('CATY','NWBI',1)
('ABCB','ASB',1)
('EBC','EWBC',1)
('CVBF','FCF',1)
('ALLE','AOS',1)
('PFC','PNFP',1)
('EBC','FFBC',1)
('NWBI','PFC',1)
('AUB','HOMB',1)
