date,Daily_Return
2019-06-26,0.00042385669333699916
2019-06-27,-0.00030392634578102484
2019-06-28,0.00014402021742698778
2019-07-01,-0.0006221827907457733
2019-07-02,-0.0019762866132415624
2019-07-03,0.0015761065949979614
2019-07-05,0.0013858804739790287
2019-07-08,-0.0012297455684928682
2019-07-09,0.0007277342923983632
2019-07-10,-7.625881703976489e-05
2019-07-11,-0.0020559679845962853
2019-07-12,0.0015651300291610326
2019-07-15,0.0001475495701825924
2019-07-16,0.0010505440584254178
2019-07-17,-0.0020283527065623197
2019-07-18,4.928616487109849e-05
2019-07-19,0.0016767418989005467
2019-07-22,-0.002348667745073918
2019-07-23,0.0027450465978502425
2019-07-24,-0.0011304267112501876
2019-07-25,0.00014715082014360448
2019-07-26,0.0008362604248373096
2019-07-29,-0.0028556226343632307
