Pair: BTCT and COIN, Profit: 2278.741771275252
Pair: AFRM and GWRE, Profit: 2277.341481939017
Pair: IONQ and PL, Profit: 2276.727387020901
Pair: EBTC and HTZWW, Profit: 2271.351029226837
Pair: AURA and FXNC, Profit: 2269.9815537310546
Pair: NPKI and OIS, Profit: 2264.303761534103
Pair: BNY and UFI, Profit: 2256.3614813852446
Pair: ANET and OKLO, Profit: 2255.6305367481295
Pair: RCMT and WWW, Profit: 2253.585383422382
Pair: BVFL and CDTX, Profit: 2253.464829310865
Pair: RIOT and SNX, Profit: 2252.4896628953547
Pair: VIRC and WLDN, Profit: 2242.7657169225936
Pair: OLP and SPOK, Profit: 2239.9180650562803
Pair: AFRM and HOOD, Profit: 2238.284841355302
Pair: APLD and NFLX, Profit: 2234.3876663995698
Pair: EBMT and GSHD, Profit: 2233.5809579829784
Pair: AFRM and NFLX, Profit: 2231.7012454912633
Pair: MCK and NTGR, Profit: 2229.0477688577243
Pair: EME and WULF, Profit: 2226.418359863179
Pair: ASML and MARA, Profit: 2211.8757731892506
Pair: CEG and SOFI, Profit: 2211.5026127587994
Pair: IONQ and IREN, Profit: 2209.8504595042355
Pair: AFRM and NOW, Profit: 2208.991902758626
Pair: RKLB and VST, Profit: 2202.958337321886
Pair: IESC and MYRG, Profit: 2202.139041731477
Pair: NNE and RKLB, Profit: 2202.0057873048536
Pair: GEV and TLN, Profit: 2196.7286580132977
Pair: NOVT and UFPT, Profit: 2195.4171905155763
Pair: RKLB and VRT, Profit: 2180.8374971380517
Pair: HOOD and TSM, Profit: 2177.281885420225
Pair: ACHR and ASTS, Profit: 2176.477949474521
Pair: ARM and VRT, Profit: 2169.2835784722793
Pair: IONQ and RKLB, Profit: 2168.9800747775425
Pair: IREN and OKLO, Profit: 2166.484367680493
Pair: CEG and NNE, Profit: 2160.0769828263933
Pair: AMZN and RIOT, Profit: 2153.752268879232
Pair: PFBC and TCBI, Profit: 2149.228588823268
Pair: EME and MYRG, Profit: 2148.8079948980767
Pair: ARM and RMBS, Profit: 2135.9737285376877
Pair: GDS and XPEV, Profit: 2134.4694439768623
Pair: SOFI and VST, Profit: 2133.661864063556
Pair: AMD and IONQ, Profit: 2131.9433742704814
Pair: CLS and CRDO, Profit: 2131.171015797154
Pair: QCRH and SFBS, Profit: 2125.4570970552836
Pair: LWAY and RWTN, Profit: 2124.9830028639353
Pair: HOOD and RCL, Profit: 2120.8333746545713
Pair: IONQ and NVDA, Profit: 2118.551719598139
Pair: ISTR and NMI, Profit: 2117.9653472834625
Pair: RDW and RKLB, Profit: 2112.66785284447
Pair: BY and CCNE, Profit: 2108.7835240392965
Pair: DLHC and HAE, Profit: 2108.7449202665066
Pair: IONQ and LAES, Profit: 2104.5299212172113
Pair: FUTU and HSAI, Profit: 2103.9621005882163
Pair: AMD and APLD, Profit: 2102.4264953342245
Pair: CEG and OKLO, Profit: 2083.604834962343
Pair: META and OKLO, Profit: 2080.105282327023
Pair: MARA and QUBT, Profit: 2073.3421942583973
Pair: ARES and IESC, Profit: 2072.251216048621
Pair: MSTR and RKLB, Profit: 2071.300992315275
Pair: IONQ and VST, Profit: 2069.138293948553
Pair: AMD and QBTS, Profit: 2064.3032324343344
Pair: HUT and LTBR, Profit: 2064.013186193756
Pair: BANR and SYBT, Profit: 2059.4455601262744
Pair: CLSK and RGTI, Profit: 2055.095360728926
Pair: MLYS and NBTB, Profit: 2054.7652563653683
Pair: BTBT and JOBY, Profit: 2053.472080884442
Pair: SERV and SMR, Profit: 2050.6926621725675
Pair: AFRM and CRWD, Profit: 2046.7013843267691
Pair: QUBT and RIOT, Profit: 2038.3163342079445
Pair: CAMT and ONTO, Profit: 2038.0625063891866
Pair: ASUR and METCB, Profit: 2037.97598133702
Pair: HOOD and OKLO, Profit: 2029.9344856224213
Pair: CLS and POWL, Profit: 2028.6046960413078
Pair: BTBT and RCAT, Profit: 2028.0934091476277
Pair: ABCB and QCRH, Profit: 2027.9412114605095
Pair: GGAL and PAM, Profit: 2024.7924039987377
Pair: TEM and VRT, Profit: 2021.4128324611384
Pair: HOOD and IBKR, Profit: 2020.4807605831295
Pair: ICHR and SLAB, Profit: 2019.2988854918362
Pair: DNUT and GSHD, Profit: 2013.5565606812763
Pair: ABCB and PFBC, Profit: 2008.9075329490709
Pair: BILI and KC, Profit: 2005.212005830458
Pair: EXPE and MPWR, Profit: 2003.8403304727187
Pair: OKLO and PL, Profit: 1999.0948807152872
Pair: FSTR and FVR, Profit: 1997.270455683842
Pair: PGC and PPBI, Profit: 1997.1287434811272
Pair: HOOD and MSTR, Profit: 1992.4171037425117
Pair: CWBC and DLHC, Profit: 1986.102009483435
Pair: DRTS and ROCK, Profit: 1985.7389655644768
Pair: JOBY and NVDA, Profit: 1984.0093610420668
Pair: AMZN and OKLO, Profit: 1983.2431211888163
Pair: CRDO and NVDA, Profit: 1981.889421104814
Pair: MARA and TSLA, Profit: 1976.981517039101
Pair: OKLO and TSLA, Profit: 1972.3547307753902
Pair: CLSK and NVDA, Profit: 1971.7197622019635
Pair: AGX and EME, Profit: 1969.4324494128173
Pair: SERV and SOUN, Profit: 1968.923712090499
Pair: HUBS and RDDT, Profit: 1966.9186023035354
Pair: ARM and MRVL, Profit: 1966.6640318186974
Pair: BFST and GUTS, Profit: 1966.0036472750617
Pair: HELE and TPC, Profit: 1963.4834962179975
Pair: POWL and VRT, Profit: 1959.0833438383524
Pair: STKL and USPH, Profit: 1958.2045854591881
Pair: APP and META, Profit: 1957.1607757819577
Pair: HUT and NOW, Profit: 1956.0748320377008
Pair: JOBY and SOUN, Profit: 1955.9220087689973
Pair: CLSK and IONQ, Profit: 1955.1137844307734
Pair: JOBY and RIVN, Profit: 1954.601280550169
Pair: HONE and KOD, Profit: 1954.0725265893552
Pair: ATNI and EML, Profit: 1952.5973533417393
Pair: HUBB and SPXC, Profit: 1942.0821187401148
Pair: AGX and FIX, Profit: 1939.8356195678039
Pair: BITF and HIVE, Profit: 1939.3663515450758
Pair: AMZN and VST, Profit: 1935.0676342827485
Pair: QUBT and RCAT, Profit: 1934.5594741135203
Pair: LMB and MTZ, Profit: 1933.8600544806247
Pair: KC and PDD, Profit: 1932.128175140761
Pair: HIMS and HOOD, Profit: 1931.4833051495746
Pair: CEG and HOOD, Profit: 1930.199436515018
Pair: OKTA and PTIX, Profit: 1927.7139498537265
Pair: CINT and FCCO, Profit: 1916.650672922935
Pair: IONQ and RIOT, Profit: 1908.8870829223506
Pair: EFSC and FBK, Profit: 1907.8514828107825
Pair: MYRG and PRIM, Profit: 1905.7510596217946
Pair: TME and XPEV, Profit: 1904.572934999939
Pair: AX and PFBC, Profit: 1901.384906092242
Pair: CCCS and FSTR, Profit: 1895.5084628732106
Pair: IONQ and WULF, Profit: 1892.0254212162745
Pair: IESC and LAZ, Profit: 1882.8930449339687
Pair: EBTC and GTES, Profit: 1882.047941431169
Pair: MARA and SDIG, Profit: 1877.979720566262
Pair: CRWD and NNE, Profit: 1876.819939726768
Pair: BY and CVBF, Profit: 1876.1792217580091
Pair: IESC and LMB, Profit: 1871.870477497512
Pair: ASML and INTC, Profit: 1866.5343643512424
Pair: BFAM and TBCH, Profit: 1866.1568966864556
Pair: ONTO and SOFI, Profit: 1865.7398875697277
Pair: NBIS and OKLO, Profit: 1865.115585659604
Pair: AISPW and MIDD, Profit: 1864.0367614873062
Pair: CVNA and HOOD, Profit: 1860.443800901866
Pair: MU and ONTO, Profit: 1859.292216772728
Pair: TSM and VRT, Profit: 1857.6375394757538
Pair: CLS and RKLB, Profit: 1855.596352551814
Pair: KC and WB, Profit: 1849.605323996114
Pair: AFRM and NET, Profit: 1847.7395254802982
Pair: BY and OSBC, Profit: 1847.7151689808622
Pair: CIEN and ONTO, Profit: 1841.2537971173865
Pair: LAD and TBRG, Profit: 1840.995761640226
Pair: JOBY and RGTI, Profit: 1840.323307712561
Pair: DOYU and EML, Profit: 1837.8530990294303
Pair: ASB and BY, Profit: 1837.3151039052345
Pair: FUTU and TAL, Profit: 1833.33336325547
Pair: FFBC and PGC, Profit: 1827.546102541444
Pair: LCNB and NTIC, Profit: 1825.449312631742
Pair: ALAB and CRDO, Profit: 1824.8006272912507
Pair: AIT and AYI, Profit: 1818.6416436397762
Pair: ETN and HOOD, Profit: 1815.9196518095328
Pair: GS and HOOD, Profit: 1815.3420584121484
Pair: APLD and BE, Profit: 1814.1832889711852
Pair: GEV and RIOT, Profit: 1808.2064488395395
Pair: MOD and SOFI, Profit: 1807.3705705335005
Pair: EME and LMB, Profit: 1806.7569814736146
Pair: AMZN and MARA, Profit: 1801.5953442195905
Pair: ARM and VST, Profit: 1799.3716298246302
Pair: AFRM and ORCL, Profit: 1799.0191698752058
Pair: TSLA and WULF, Profit: 1798.3927027571463
Pair: HUT and IONQ, Profit: 1793.7482911956843
Pair: CRWD and RDDT, Profit: 1793.360927881873
Pair: MARA and RGTI, Profit: 1791.8358517621346
Pair: BHFAM and SDHY, Profit: 1789.1759056527424
Pair: BOKF and CHCO, Profit: 1787.1557009098124
Pair: BY and FULT, Profit: 1786.3170974278623
Pair: IESC and ROAD, Profit: 1783.6119179538782
Pair: BY and VBTX, Profit: 1783.2976682633582
Pair: BTI and RNAC, Profit: 1781.3994700127114
